app;method;arg;argsize;time-ms;avg-power-mw;where
cameraoffloading;snow;1.6;629208;1051;937.14;LOCAL
cameraoffloading;snow;1.6;629208;1020;937.14;LOCAL
cameraoffloading;snow;1.6;629208;1013;937.14;LOCAL
cameraoffloading;snow;1.6;629208;992;937.14;LOCAL
cameraoffloading;snow;1.6;629208;992;937.14;LOCAL
cameraoffloading;snow;1.6;629208;993;937.14;LOCAL
cameraoffloading;snow;1.6;629208;1013;937.14;LOCAL
cameraoffloading;snow;1.6;629208;1004;937.14;LOCAL
cameraoffloading;snow;1.6;629208;998;937.14;LOCAL
cameraoffloading;snow;1.6;629208;1001;937.14;LOCAL
cameraoffloading;snow;1.6;629208;1007;937.14;LOCAL
cameraoffloading;snow;1.6;629208;1000;937.14;LOCAL
cameraoffloading;snow;1.6;629208;1001;937.14;LOCAL
cameraoffloading;snow;1.6;629208;993;937.14;LOCAL
cameraoffloading;snow;1.6;629208;1016;937.14;LOCAL
cameraoffloading;snow;1.6;629208;1001;937.14;LOCAL
cameraoffloading;snow;1.6;629208;1001;937.14;LOCAL
cameraoffloading;snow;1.6;629208;993;937.14;LOCAL
cameraoffloading;snow;1.6;629208;999;937.14;LOCAL
cameraoffloading;snow;1.6;629208;999;937.14;LOCAL
cameraoffloading;snow;1.6;629208;1007;937.14;LOCAL
cameraoffloading;snow;1.6;629208;994;937.14;LOCAL
cameraoffloading;snow;1.6;629208;1004;937.14;LOCAL
cameraoffloading;snow;1.6;629208;994;937.14;LOCAL
cameraoffloading;snow;1.6;629208;999;937.14;LOCAL
cameraoffloading;snow;1.6;629208;995;937.14;LOCAL
cameraoffloading;snow;1.6;629208;1015;937.14;LOCAL
cameraoffloading;snow;1.6;629208;998;937.14;LOCAL
cameraoffloading;snow;1.6;629208;1017;937.14;LOCAL
cameraoffloading;snow;1.6;629208;1001;937.14;LOCAL
cameraoffloading;emboss;1.6;629210;70948;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70497;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70852;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70741;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70630;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;71279;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70690;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70773;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70546;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70876;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;71037;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70960;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70644;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70705;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70975;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70782;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70804;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70971;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70650;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;71169;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;71862;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;71972;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;71496;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70354;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70392;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70552;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70366;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70977;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70370;1135.17;LOCAL
cameraoffloading;emboss;1.6;629210;70458;1135.17;LOCAL
matrixoperation;add;800;5128370;25536;1109.15;LG
matrixoperation;add;800;5128370;25962;1109.15;LG
matrixoperation;add;800;5128370;25613;1109.15;LG
matrixoperation;add;800;5128370;25136;1109.15;LG
